body,title
"Acaba de ser abierta al público una inteligencia artificial (IA) conversacional con el nombre ChatGPT (chat.openai.com). Para probar esta nueva tecnología, he escrito lo siguiente y abajo sigue la excelente respuesta de ChatGPT: “Escribe un corto artículo periodístico de 300 palabras sobre el futuro de la inteligencia artificial. Utiliza alguna cita de un científico famoso e incluye dos cifras estadísticas.”El futuro de la inteligencia artificial (IA) es un tema de gran interés en la actualidad, y cada vez son más las voces que se suman a la discusión sobre su impacto en nuestras vidas y en la sociedad en general.Según un estudio realizado por el Instituto de Tecnología de Massachusetts (MIT), el 70% de los expertos en IA considera que en el futuro, esta tecnología tendrá un impacto positivo en la sociedad. Sin embargo, también hay quienes plantean preocupaciones sobre el riesgo de que la IA pueda desplazar a los trabajadores humanos en ciertas industrias.Una de las principales preocupaciones es que la IA pueda llegar a ser más inteligente que los humanos, lo que podría llevar a una ""singularidad tecnológica"" en la que la tecnología superaría a la humanidad. Sin embargo, el científico de renombre Stephen Hawking ha declarado: ""La IA puede ser el mejor o el peor invento de la historia de la humanidad. No debemos temer a la IA, pero sí debemos estar conscientes de sus potenciales riesgos y estar preparados para enfrentarlos"".A pesar de las preocupaciones, la IA también tiene el potencial de mejorar significativamente nuestras vidas. Según una encuesta realizada por la consultora PwC, el 85% de los consumidores creen que la IA podría mejorar la calidad de sus vidas en el futuro. Por ejemplo, la IA podría ayudar a mejorar el diagnóstico y el tratamiento de enfermedades, así como a optimizar los procesos productivos en las empresas.En resumen, el futuro de la IA es prometedor, pero también es importante tener en cuenta los posibles riesgos y estar preparados para enfrentarlos. Como afirma Hawking, ""La IA puede ser el mejor o el peor invento de la historia de la humanidad"". Es nuestra responsabilidad asegurarnos de que sea el mejor.www.cordeiro.org",Mi primer artículo de IA con ChatGPT
"Bad Bunny, el artista latino del momento, despidió su “World Hottest Tour” con un par de conciertos este fin de semana en el Estadio Azteca de Ciudad de México, que abarrotó tras una gira por 14 países, 43 fechas y más de 30 sedes en Estados Unidos y Latinoamérica.Con un escenario que simulaba ser una playa con palmeras, el cantante boricua inició su espectáculo del viernes a las 22.00 horas GMT (03.00 GMT) con la canción “Moscow Mule”, coreada por un recinto con capacidad para alrededor de 87.000 personas.La euforia prosiguió con dos de sus más grandes éxitos: “Me porto bonito” y “Un ratito”.“Bienvenidos al tour más caliente del mundo entero”, expresó al inicio. “Lo único que les voy a pedir es que disfruten, que brinquen, que bailen, hagan lo que quieran. Esta es su casa”.De ahí siguieron otras melodías populares como “Efecto”, “Tarot”, “La corriente”, “Neverita”, y “Ni bien ni mal”.Entre las más provocadoras estuvieron “Yo perreo sola”, “Titi me preguntó” y “Callaíta”, la más coreada y bailada de la noche.“Es un honor estar en esta arena con tanta gente súper cabrona que me quiere de verdad, así que gracias, México”, comentó el cantante, quien ofreció un espectáculo de cerca de tres horas.Un espectáculo históricoEl show en la capital mexicana adquirió especial significado porque horas antes el puertorriqueño, cuyo nombre real es Benito Antonio Martínez Ocasio, anunció que pausaría su carrera en 2023.El “World Hottest Tour” es la cuarta gira internacional en el historial del cantante de 28 años, quien este 2022 hizo historia al convertirse en el primer artista nominado tanto para el Latin Grammy como para el Grammy original por su álbum “Un verano sin ti”, motivo del tour.La gira es la de mayores ingresos en la historia para un artista latino, con más de 232,5 millones de dólares en ganancias hasta octubre pasado, según Billboard.Además de Estados Unidos, el artista pasó por República Dominicana, Chile, Argentina, Paraguay, Perú, Ecuador, Colombia, Panamá, Costa Rica, El Salvador, Honduras y Guatemala.Mientras que “Un verano sin ti” debutó en la cima de la lista de los mejores 200 de Billboard Estados Unidos, por lo que es el segundo disco de Bad Bunny y el segundo en español en general en encabezar la lista.Fiesta dentro, caos fueraEn contraste con la fiesta dentro del Azteca, el caos marcó las afueras del concierto, con decenas de miles de fanáticos que buscaban un boleto de reventa, que armaron fiestas alternas ante la imposibilidad de entrar o que hicieron fila desde doce horas antes para conseguir buen lugar.Asistentes denunciaron la venta de entradas clonadas, mientras que otros protestaron porque los billetes que adquirieron en preventa no resultaron válidos.“La Profeco (Procuraduría Federal del Consumidor) ya solicitó un informe a Ticketmaster sobre el problema con los boletos de acceso al concierto de Bad Bunny en el Estadio Azteca”, escribió en sus redes el procurador del consumidor, Ricardo Sheffield.Además, los embotellamientos provocaron trayectos de más de dos hora para llegar y salir del recinto, ubicado en el sur de Ciudad de México. Con información de Efe",Bad Bunny despide su “tour más caliente” en el Azteca de México
"Caracas.- El presidente de la República, Nicolás Maduro anunció este sábado que ha instruido a su gabinete a tomar medidas para defender el dólar oficial del Banco Central de Venezuela (BCV) tras el alza desmedida registrada en los últimos días.""Ordené al equipo económico tomar medidas en defensa de la Tasa Oficial, por un comercio sano que respete los derechos del pueblo"", señaló.El jefe de Estado abogó por un crecimiento económico en el país.El mandatario venezolano aseguró que su gabinete garantizará ""unas navidades felices venciendo las mafias mayameras"". La tasa oficial del BCV que rige desde este viernes es de Bs. 14,12 por dólar, mientras que la cotización del euro se ubica en Bs. 14,88.En los últimos días el precio de la divisa norteamericana ha variado de manera acelerada, en comparación a la estabilidad que mantuvo durante los meses anteriores.Frente al ataque del dólar criminal, ordené al equipo económico tomar medidas en defensa de la Tasa Oficial, por un comercio sano que respete los derechos del pueblo. Garantizaremos unas navidades felices venciendo las mafias mayameras. ¡Nadie detendrá el crecimiento económico!— Nicolás Maduro (@NicolasMaduro) December 10, 2022 Atención🔵|| El tipo de cambio publicado por el BCV es el promedio ponderado de las operaciones de las mesas de cambio de las instituciones bancarias. Al cierre de la jornada del día Viernes 09-12-2022, los resultados son:#MercadoCambiario #BCV🇻🇪 pic.twitter.com/seJ6mISyzT— Banco Central de Venezuela (@BCV_ORG_VE) December 9, 2022",Presidente Maduro ordenó tomar medidas para defender la tasa oficial del dólar
"Un reconocido periodista deportivo estadounidense falleció el viernes tras desplomarse en la tribuna de prensa mientras cubría los cuartos de final Argentina-Países Bajos del Mundial de Catar-2022, confirmaron los organizadores el sábado.Grant Wahl, de 48 años, ""se sintió mal en la tribuna de prensa del estadio de Lusail"", precisó un portavoz del Comité Supremo de Organización. ""Allí recibió inmediatamente tratamiento médico de urgente, que continuó durante su traslado en ambulancia al hospital general Hamad"", en Doha.El presidente de la FIFA Giani Infantino envió las ""sinceras condolencias"" de la institución dirigente del fútbol mundial y de la ""comunidad del fútbol"" a su esposa, familia y amigos en un comunicado distinto el sábado.Autor de un libro sobre David Beckham, Wahl había cubierto ocho Copas del Mundo masculinas consecutivas, habiendo trabajado para la célebre revista Sports Illustrated de 1996 a 2020, antes de unirse a la cadena CBS Sports en 2021, medio para el que cubría el partido del viernes.Según la radio estadounidense NPR, Wahl se desplomó en la tribuna de prensa cuando el partido se acercaba a su fin. Los servicios médicos le practicaron la reanimación cardiopulmonar antes de llevárselo en camilla. Y de acuerdo con el diario Wall Street Journal, Wahl sufrió al parecer un ataque al corazón.Hace unos días, había informado a los abonados de su newsletter haberse desplazado a una clínica del centro de medios de comunicación: ""Dijeron que tenía probablemente una bronquitis"", añadió.""Poco sueño, mucho estrés"", ""Mi cuerpo ha terminado por dejarme. Tres semanas con poco sueño, mucho estrés y trabajo pueden tener este efecto sobre vosotros (...). Pude sentir como la parte alta de mi pecho soportaba un nuevo nivel de presión e incomodidad"", describía.""Estoy en completo shock"", tuiteó por su parte su esposa Celine Gounder, renombrada epidemióloga que apareció en varias ocasiones en televisión durante la pandemia de covid-19.El portavoz del departamento de estado de Estados Unidos Ned Prince tuiteó poco después: ""Estamos profundamente tristes tras conocer el fallecimiento de Grant Wahl"".""Grant hizo del fútbol el trabajo de su vida, y estamos devastados porque él y su brillante escritura ya no estarán con nosotros"", dijo la Federación de Fútbol estadounidense en un comunicado.Antes del partido Estados Unidos-Gales del 21 de noviembre, Grant fue retenido por el personal de seguridad del estadio Ahmad Bin Ali por vestir una camiseta arcoíris, según explicó en Twitter. Las relaciones homosexuales están criminalizadas en el pequeño emirato del Golfo.",Muere periodista estadounidense en Doha mientras cubría el Argentina-Países Bajos
"La Justicia de Estados Unidos rechazó el viernes declarar al expresidente del país Donald Trump (2017-2021) en desacato, tal y como pedía el Gobierno del actual mandatario, Joe Biden.De acuerdo con los canales CNN y NBC, que citaron fuentes conocedoras del caso, la magistrada del Distrito de Columbia Beryl Howell falló en contra de la petición del Ejecutivo, que solicitaba declarar a Trump en desacato por presuntamente no haber respondido a la petición de un gran jurado, según destaca Efe.En su lugar, Howell presionó tanto a la Defensa de Trump como al Departamento de Justicia en representación del Gobierno estadounidense para que alcancen una resolución de mutuo acuerdo.El gran jurado exigió a Trump en mayo que retornase documentos clasificados de cuando era presidente y que aún mantiene en su poder, algo que el exmandatario no habría hecho.La semana pasada, la Justicia estadounidense dejó sin efecto la figura del perito especial designado por una instancia inferior para revisar los documentos oficiales hallados en la mansión en Florida de Trump.La Corte de Apelaciones para el Circuito 11 de Estados Unidos dio así la razón al Departamento de Justicia, que dirige el demócrata Merrick Garland, y que en octubre había solicitado que se revocase la orden emitida por una jueza de rango inferior que conllevó la designación del perito independiente.Ese nombramiento había sido uno de los mayores logros judiciales de Trump en la batalla judicial que mantiene con el actual Gobierno de EE.UU. en relación a esos documentos, puesto que el perito era el encargado de determinar a qué papeles podía acceder el Ejecutivo en su investigación y a cuáles no.Hasta la fecha, el perito estaba revisando el centenar de documentos marcados como clasificados que se encontraron entre los más de 13.000 que el FBI decomisó el pasado 8 de agosto durante el registro de la residencia de Trump en Mar-a-Lago (Florida).Durante el registro, el FBI halló documentos clasificados y secretos que Trump presuntamente se llevó consigo cuando dejó la Casa Blanca en enero de 2021.Con información de Efe",Justicia de EEUU rechaza declarar a Trump en desacato como pedía el Gobierno
"Un total de 83 nuevos contagios de la Covid-19 fueron detectados en las últimas 24 horas, de los cuales 54 son comunitarios y 29 importados, lo que eleva a 548 mil 233 el acumulado confirmado, con 1.111 casos activos, mientras que la cifra de recuperados se ubica en 541 mil 293 pacientes.Así lo dio a conocer este viernes el vicepresidente sectorial de Comunicación, Cultura y Turismo, Freddy Ñáñez, durante el acostumbrado balance diario que ofrece la Comisión Presidencial para el Control y la Prevención de la COVID-19, a través de su cuenta en la red social Twitter.#BalanceCovid19➡️➡️ A 999 días de la pandemia en Venezuela, informamos que el país registró 83 nuevos casos, 54 casos comunitarios y 29 importados— Alfred Nazareth (@luchaalmada) December 10, 2022 Informó que los casos comunitarios están ubicados en: Caracas (20), Miranda (20), La Guaira (3), Sucre (2), Bolívar (2), entre otros que se muestran en la siguiente lámina.Caracas presenta el mayor número de contagios en 11 de sus 22 parroquias afectadas: Sucre (5), La Candelaria (3), Santa Teresa (3), 23 de Enero (2), Altagracia (1); entre otros que se muestran a continuación.Los 29 casos importados provienen de: Panamá (17), Rep. Dominicana (7), Türkiye (3), Cuba (2); todos con entrada por La Guaira.Caracas presenta hoy el mayor número de contagios en 11 de sus 22 parroquias: Sucre 5, La Candelaria 3, Santa Teresa 3, 23 de Enero 2, Altagracia 1, entre otros que se muestran a continuación⬇️⬇️ pic.twitter.com/7CHXBwVAzU— Alfred Nazareth (@luchaalmada) December 10, 2022 En la semana 143 y día 999 de pandemia en Venezuela, estas son sus estadísticas generales:– Total de contagios: 548 mil 233– Pacientes recuperados: 541 mil 293 (99%)– Casos activos actuales: 1.111– Total de fallecidos: Cinco mil 829",Venezuela registra 83 nuevos contagios de Covid-19 en las últimas 24 horas
"El príncipe Harry y su esposa Meghan rechazaron las críticas a un documental sobre sus vidas, con una declaración de su portavoz que asegura que la pareja nunca había citado la privacidad como una razón para alejarse de la familia real.En los tres primeros episodios del esperado documental, la pareja -el duque y la duquesa de Sussex- hizo una serie de revelaciones, con Meghan recordando su primera amenaza de muerte, Harry hablando de llevar disfraces a sus citas, y publicaron material inédito de su hijo Archie.El lanzamiento, que según cifras citadas por la BBC atrajo a 2,4 millones de telespectadores en Gran Bretaña en su estreno, ha llevado a algunos a criticar a la pareja porque anteriormente se han quejado enérgicamente de la intromisión de la prensa.Sin embargo, un comunicado emitido por el secretario de prensa de la pareja rechazó esta línea de crítica.""El Duque y la Duquesa nunca han aducido la privacidad como motivo para dar un paso atrás. Esta narrativa distorsionada pretendía atrapar a la pareja en el silencio"", decía el comunicado, según un informe de la BBC.""Ellos han decidido compartir su historia, en sus propios términos, y sin embargo los medios sensacionalistas han creado una narrativa totalmente falsa que impregna la cobertura de prensa y la opinión pública"".Reuters pidió una copia del comunicado, del que también se han hecho eco otros medios. El comunicado destacaba que ni Harry ni Meghan habían mencionado la privacidad a la hora de retirarse de sus funciones reales en enero de 2020 y habían expresado su deseo de continuar con sus funciones y deberes públicos.La declaración de 2020 no daba ninguna razón para la decisión de retirarse como miembros de la realeza. Días después de la decisión emitieron una advertencia sobre el acoso de los fotógrafos paparazzi.Eso se hizo eco de las críticas de 2019, cuando Harry dijo que sentía que su esposa había enfrentado ""intimidación"" de algunos tabloides, similar a la que enfrentó su madre, la princesa Diana, que murió en un accidente automovilístico en 1997 mientras intentaba escapar de los fotógrafos paparazzi.La pareja ha cortado lazos con los cuatro principales tabloides británicos y ha demandado con éxito a varias publicaciones.Con información de BBC | El Mundo",Harry y Meghan defienden el documental tras las críticas sobre su privacidad
"Londres.- El príncipe Enrique, hijo menor de Carlos III, y su esposa Meghan fustigan el ""contrato no escrito"" entre la familia real y una prensa británica que los ""explota"", en un controvertido documental estrenado el jueves que también denuncia un racismo latente.""No se nos había permitido contar nuestra historia porque ellos no querían"", afirma la exactriz estadounidense, de 41 años, en uno de los primeros tres episodios de la serie documental ""Harry & Meghan"" difundidos por Netflix.""No se nos permite, siempre ha sido así, hasta ahora"", agregan juntos, explicando como ya desde su primera entrevista conjunta, el 27 de noviembre de 2017, tras el anuncio de su compromiso, todas sus declaraciones y comportamiento fueron ""un reality show orquestado"" por el palacio.""La jauría de corresponsales reales es esencialmente una rama extendida de las relaciones públicas de la familia real, un acuerdo que ha existido durante más de 30 años"", afirma Enrique, de 38 años, que sigue considerando a la prensa sensacionalista responsable de la muerte de su madre, la princesa Diana, en 1997, cuando era perseguida por los paparazzi.""Esta familia es nuestra para explotarla, su trauma es nuestra historia y controlamos la narrativa"" piensan los medios británicos según ese ""contrato no escrito"", agrega el príncipe, señalando una campaña de publicidad negativa contra ellos cuando se resistieron a un acoso que se extendió a los amigos y familiares de Meghan en Estados Unidos. ""Prejuicios inconscientes"" La serie comienza con la historia de amor entre el príncipe y la actriz, una ferviente feminista mestiza criada en el relajado desenfado de Hollywood, y avanza en sus primeros tres capítulos hasta la víspera de su boda en mayo de 2018.Los próximos tres episodios, que aparecerán el 15 de diciembre, se prevén más dañinos para la familia real, por incluir detalles sobre los motivos que llevaron a la pareja a abandonar la monarquía en 2020 para irse a vivir a California.Apenas recuperada de la muerte de Isabel II en septiembre, la realeza se prepara así para acusaciones potencialmente explosivas en un momento en que busca modernizar su imagen, impulsada por los nuevos monarcas Carlos III y Camila, y sus herederos Guillermo y Catalina.El Palacio de Buckingham no hizo comentarios antes del estreno de la serie pero fuentes de la casa real citadas por el diario Daily Mail aseguraron este fin de semana que los monarcas están ""un poco hastiados"" de los constantes ataques.En esta primera entrega ya se alude al racismo que Meghan denuncia haber sufrido, desde el broche con una cabeza de negro lucido por la esposa de un primo de Isabel II en la primera cena de Navidad con la actriz en 2017 hasta imágenes y comentarios sobre el pasado colonial del imperio británico. ""Hay un altísimo nivel de prejuicios inconscientes"", afirma Enrique, que dice que tuvo que corregir la educación que recibió siendo niño. ""Mucho dinero y dar su versión"" Esto llega en el peor momento para la familia real británica, sacudida la semana pasada por un escándalo de racismo por parte de una madrina de Guillermo, que tuvo que dimitir como dama de honor tras hacer comentarios ofensivos a una invitada negra en el Palacio de Buckingham.En una impactante entrevista el año pasado con la estrella de la televisión estadounidense Oprah Winfrey, Enrique y Meghan ya habían acusado a un miembro de la familia real que no citaron de inquietarse por el color de piel que tendrían sus futuros hijos.La serie, con testimonios de amigos y colaboradores de la pareja pero sin ninguno de sus críticos, explica por ejemplo como la excolonia británica de Jamaica fue el centro de una muy rentable trata de esclavos, cuyos barcos estuvieron financiados durante siglos por los reyes ingleses y cuyos beneficios permitieron construir el ""mayor imperio que haya visto el mundo"".La impopularidad de los duques de Sussex en el Reino Unido, donde se los acusa de sacar provecho financiero de la monarquía sin participar de sus obligaciones, no parece que vaya a mejorar con este documental.""Son hipócritas, por un lado dicen que quieren privacidad y por el otro miren lo que publican"", dijo a la AFP el comentarista real Richard Fitzwilliams, que ha trabajado para medios como la británica BBC y la estadounidense CNN.En su opinión ""lo hacen por dos razones: ganar mucho dinero y dar su versión, como una forma de venganza"". Pero no se dirigen al público británico sino ""al mundo entero con Estados Unidos en el centro"", considera.","""Harry & Meghan"" fustiga a la prensa británica, la familia real y el racismo"
"Horas después de darse a conocer la demanda en contra de Nick Carter integrante de la agrupación musical estadounidense Backstreet Boys, respondió a las acusaciones realizada por una joven que asegura que haber sido abusada por el artista cuando ella apenas tenía 17 años. Según datos verificados por ""E! News"" este 8 de diciembre, una mujer de nombre Shannon ""Shay"" Ruth, quien tiene autismo y parálisis cerebral, alegra que Nick Carter abusó de ella, en 2001, momento ebn que la joven asistió a un concierto de la legendaria boyband.Carter, contestó no de manera directa, sino a través de un comunicado que su abogado, Michael Holtz, hizo llegar al medio ""E! News"". Nick Carter niega haber cometido abuso sexual en contra de Shannon Ruth, y esto es lo que dijo por medio de sus defensores:""Desafortunadamente, durante varios años, la señora. Ruth ha sido manipulada para hacer acusaciones falsas sobre Nick, y esas acusaciones han cambiado repetida y materialmente con el tiempo”.El abogado continuó apuntando, “Nadie debe dejarse engañar por un truco de prensa orquestado por un abogado oportunista; no hay nada en absoluto en este reclamo, que no tenemos dudas de que los tribunales se darán cuenta rápidamente”.Acerca de por qué la mujer tardó más de dos décadas en ventilar las supuestas agresiones sexuales de Nick, los abogados de Ruth argumentaron que su cliente recibió “diversas amenazas” para disuadirla de emprender una vía legal.De acuerdo a los documentos judiciales, la acusante plantea que, tras esperar en la fila de autógrafos, Nick la invitó a ir con él al autobús del tour, en donde en el baño la obligó a practicarle sexo oral.Shay relató en estos documentos que Carter continuó la agresión sexual luego de la felación que ella la practicó a la fuerza, dijo que el cantante siguió agrediéndola en una cama del vehículo, aseverando que ella era virgen hasta antes de dicho suceso.En ese contexto, Shannon Ruth está demandando a Nick Carter por los siguientes delitos: agresión sexual, imposición intención, así como por negligencia de angustia emocional.Hasta el momento, el cantante no se ha pronunciado a través de sus redes sociales, y en Instagram promociona un concierto llamado ""Song for Tomorrow"" en beneficio a la creación de un centro de atención a la salud mental, que se hará en honor a Aaron Carter, hermano menor del cantante que pereció el pasado 5 de noviembre de 2022.Con información de Agencias",Nick Carter niega abuso sexual a mujer autista en tour de hace 20 años con Backstreet Boys
"Caracas.- Funcionarios del Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (Cicpc) del estado La Guaira capturaron a Yazmín Prieto Paduaniz, acusada de asesinar a sus tres nietos.La mujer, identificada como Yazmín Prieto Paduaniz, se encontraba solicitada desde desde el 23 de enero de 2019, debido a acusaciones de homicidio intencional calificado contra sus nietos Yoenny Daniela (5), Brayan Alejandro (7) y Branyelis Fabiana Prieto Paduaniz (8).Prieto fue detenida en el Aeropuerto Internacional Simón Bolívar de Maiquetía mientras intentaba huir del país. Según el reporte oficial, los menores estaban al cuidado de su tía Yasmín Prieto Paduaniz (21), quien fue detenida por el Cicpc al momento del hallazgo de los cuerpos. Los cadáveres habrían sido encontrados dentro de un pipote sin agua en un apartamento del piso 10, del bloque 3, en la urbanización 10 de Marzo.Tras las pruebas realizadas por Senamecf, se conoció que los niños habían muerto por asfixia mecánica por sumersión.La madre de los tres infantes se encuentra recluida en Tocorón por un delito ajeno a este caso.Aparte de la abuela y la tía, otro tío, identificado como Henry Alexander Prieto (31) también fue detenido por los funcionarios policiales.",Capturan en Maiquetía a una abuela acusada de asesinar a 3 de sus nietos
